Test for Catan

Population: 1000
Elite size: 100
Mutation size: 900

Maps: 

Map 1: 
   (13, 0s)
   (12, 0.015513s)
   (7, 0.0228s)
   (6, 0.03003s)
   (5, 0.037999s)
   (4, 0.04535s)
   (3, 0.061107s)
   (2, 0.077927s)
   (0, 0.11988s)

Map 2: 
   (13, 0s)
   (12, 0.016383s)
   (9, 0.024768s)
   (7, 0.042441s)
   (5, 0.051064s)
   (4, 0.059611s)
   (3, 0.076843s)
   (2, 0.101718s)
   (0, 0.141031s)

Map 3: 
   (13, 0s)
   (12, 0.015872s)
   (8, 0.023861s)
   (6, 0.040107s)
   (4, 0.048457s)
   (2, 0.056761s)
   (0, 0.157818s)

Map 4: 
   (13, 0s)
   (9, 0.024371s)
   (8, 0.032735s)
   (5, 0.041223s)
   (3, 0.049783s)
   (2, 0.066595s)
   (0, 0.136693s)

Map 5: 
   (13, 0s)
   (9, 0.024967s)
   (7, 0.033434s)
   (6, 0.041963s)
   (4, 0.050459s)
   (3, 0.058967s)
   (2, 0.067493s)
   (0, 0.118646s)

Map 6: 
   (13, 0s)
   (10, 0.024824s)
   (7, 0.033252s)
   (5, 0.049994s)
   (2, 0.058637s)
   (0, 0.12747s)

Map 7: 
   (13, 0s)
   (9, 0.025008s)
   (8, 0.033582s)
   (5, 0.042074s)
   (3, 0.059036s)
   (0, 0.084911s)

Map 8: 
   (13, 0s)
   (12, 0.016574s)
   (10, 0.02474s)
   (6, 0.033237s)
   (5, 0.041612s)
   (4, 0.050183s)
   (3, 0.0671s)
   (2, 0.084252s)
   (0, 0.15342s)

Map 9: 
   (13, 0s)
   (11, 0.016678s)
   (9, 0.025102s)
   (7, 0.033304s)
   (3, 0.052159s)
   (2, 0.101485s)
   (0, 0.205509s)

Map 10: 
   (13, 0, 0s)
   (11, 0.01615s)
   (7, 0.023941s)
   (6, 0.031964s)
   (5, 0.048071s)
   (3, 0.056264s)
   (2, 0.073835s)
   (0, 0.123645s)

Map 11: 
   (13, 0s)
   (12, 0.016369s)
   (9, 0.024459s)
   (5, 0.032532s)
   (3, 0.055143s)
   (2, 0.070683s)
   (0, 0.191811s)

Map 12: 
   (13, 0s)
   (12, 0.015569s)
   (9, 0.023108s)
   (6, 0.030943s)
   (4, 0.046744s)
   (3, 0.070513s)
   (0, 0.078499s)

Map 13: 
   (13, 0s)
   (11, 0.01458s)
   (9, 0.022325s)
   (8, 0.030465s)
   (6, 0.038718s)
   (4, 0.047174s)
   (3, 0.064741s)
   (2, 0.073643s)
   (0, 0.17778s)

Map 14: 
   (13, 0, 0s)
   (11, 0.016759s)
   (9, 0.0249s)
   (8, 0.033346s)
   (7, 0.041888s)
   (5, 0.0505s)
   (4, 0.058907s)
   (3, 0.076099s)
   (2, 0.084693s)
   (0, 0.118826s)

Map 15: 
   (13, 0s)
   (11, 0.016992s)
   (9, 0.025405s)
   (8, 0.03429s)
   (5, 0.043129s)
   (3, 0.060565s)
   (2, 0.104138s)
   (0, 0.150832s)

Map 16: 
   (13, 0s)
   (12, 0.016743s)
   (9, 0.024977s)
   (7, 0.033488s)
   (6, 0.051269s)
   (2, 0.060638s)
   (0, 0.16068s)

Map 17: 
   (13, 0s)
   (12, 0.016642s)
   (11, 0.02478s)
   (9, 0.033311s)
   (7, 0.04187s)
   (6, 0.050507s)
   (4, 0.059074s)
   (3, 0.067691s)
   (2, 0.076288s)
   (0, 0.09369s)

Map 18: 
   (13, 0s)
   (11, 0.016824s)
   (9, 0.025475s)
   (5, 0.042636s)
   (3, 0.05986s)
   (2, 0.077126s)
   (0, 0.225849s)

Map 19: 
   (13, 0s)
   (11, 0.017041s)
   (8, 0.025262s)
   (6, 0.042448s)
   (4, 0.051021s)
   (3, 0.059629s)
   (2, 0.095121s)
   (0, 0.147918s)

Map 20: 
   (13, 0s)
   (8, 0.025101s)
   (4, 0.042275s)
   (3, 0.051046s)
   (2, 0.077132s)
   (0, 0.113295s)

Map 21: 
   (13, 0s)
   (11, 0.016913s)
   (10, 0.025296s)
   (9, 0.033799s)
